name.first,name.last,phone,sex,added,salary,position
Dorothea,Ridesdale,9482994314376,1,2018-03-15,3103,Computers
Roxane,Gotcliffe,9688936582061,1,2017-11-01,3157,Outdoors
Alyce,Sowter,1668014407239,1,2018-05-06,1974,Health
Leslie,Piercy,2229648140455,0,2018-08-16,1542,Movies
Adelheid,Sooper,5640394718115,1,2018-06-12,1527,Tools
Miguel,Chaudrelle,2575041971491,0,2018-04-18,2415,Grocery
Ardella,Kelmere,5837627784627,1,2018-02-17,1562,Beauty
Kliment,Cowin,1995685684890,1,2018-06-12,1951,Garden
Dania,Blakeden,9410883708781,1,2018-01-07,3983,Clothing
Breanne,Dobbin,1647873757366,0,2018-06-26,3930,Grocery
Chan,Cassar,46107130567,1,2018-05-10,1697,Games
Dom,Cauthra,174807316176,1,2017-12-02,3269,Shoes
Johnette,Havick,9424700713722,0,2018-08-01,2443,Shoes
Wallis,Marzelli,3833850795330,0,2017-12-01,2901,Baby
Tonie,Frammingham,4854325454628,1,2018-08-02,3016,Tools
Helene,Melling,8687330362104,0,2018-08-26,2567,Jewelery
Tiffanie,Perse,9611219239792,0,2018-02-12,2086,Baby
Bernita,Daftor,4739965188645,1,2018-02-08,3589,Kids
Roarke,Calderonello,1870323468528,0,2017-10-11,3762,Automotive
Pris,Massei,90194284579,0,2018-09-19,2990,Jewelery
Charmion,Coast,6442775573045,1,2018-09-15,3483,Kids
Trevar,Poundesford,951443694460,1,2018-05-16,1870,Kids
Alyss,Vials,9227762731059,1,2017-09-29,1882,Clothing
Allina,Draude,2017736851149,0,2017-10-30,1570,Health
Kevin,Braffington,9552547740679,1,2018-04-10,1858,Outdoors
Orsola,Mickan,5807292889467,0,2018-05-24,3336,Kids
Ernesta,Pilbury,4686642302235,0,2017-12-06,1874,Computers
Carrissa,Rulten,1130135224030,1,2017-10-27,1593,Computers
Hewie,Maddocks,1348806933297,1,2018-04-06,2039,Outdoors
Samson,Garlant,3733744220791,0,2018-08-12,3258,Garden
Rheba,Gagan,6287552710363,1,2018-06-21,2784,Industrial
Minta,Nickels,7760973312225,0,2017-11-24,1313,Health
Tod,Attack,5489189278757,1,2018-07-12,1882,Kids
Kristofer,Cours,864092945637,1,2017-12-18,2157,Kids
Darline,Bockmaster,9455443759729,0,2018-09-09,2039,Tools
Sherrie,Boni,8300303056963,0,2018-09-02,1892,Garden
Selestina,Handrok,5909698750121,1,2018-02-16,3163,Outdoors
Gal,Clack,6125457430649,1,2018-09-18,1981,Toys
Cam,Santore,8348807592203,0,2018-05-18,1105,Movies
Humberto,Burniston,7969129865142,1,2018-07-09,2056,Shoes
Titos,Purry,9204045043966,1,2017-12-10,3255,Industrial
Sharyl,Mariet,5025687506177,1,2018-08-11,1381,Clothing
Tani,Venny,8411597677956,0,2018-05-11,3748,Electronics
Hamlin,Frayn,9906590739193,1,2018-01-23,2919,Toys
Belle,Litster,8402492191577,1,2018-05-21,1207,Outdoors
Ivie,Tapley,1746230674798,1,2017-12-03,1196,Baby
Addy,Mahaddie,7385868370307,0,2018-07-26,3326,Health
Kandy,Haglinton,5177531264476,0,2018-02-08,2194,Home
Myrta,Kirsopp,4551092698908,0,2017-12-28,1026,Electronics
Luciano,Meyrick,2732171906382,1,2017-12-02,3375,Toys
Gardner,Wyche,9100159487659,1,2017-12-05,1962,Music
Olenka,Teffrey,3160441779356,1,2018-08-02,3134,Health
Karly,Jakobssen,1785246282165,1,2017-12-15,2563,Books
Andras,Fisher,7079076106351,1,2018-05-28,3910,Baby
Marinna,Heinl,2266565716702,1,2018-04-07,2689,Books
Alon,Kale,9856495748305,1,2018-08-16,3034,Beauty
Terza,Bremley,827499732265,1,2018-08-04,2818,Shoes
Maire,Whitsun,6028829361565,0,2018-01-25,1355,Garden
Everett,Foster-Smith,7320706835408,0,2018-04-22,2938,Games
Wendall,Creamer,3659807819235,1,2018-08-30,3301,Garden
Uta,Pixton,786832118650,1,2017-10-10,2236,Clothing
Carlyn,Josowitz,8089110902997,0,2018-09-17,1822,Electronics
Giavani,Lakey,1741333024077,0,2018-07-27,2870,Movies
Emmye,Wasbrough,5223092964981,0,2018-05-20,1261,Garden
Louise,Izhakov,193265104073,1,2018-09-09,2264,Movies
Gerrilee,Dowty,3614856379536,0,2017-10-05,2371,Kids
Aleece,Pawelek,7924652201751,0,2018-08-13,2514,Beauty
